,acousticness,added_at,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,trackName,track_href,type,uri,valence
0,0.431,2016-07-07T22:45:32Z,https://api.spotify.com/v1/audio-analysis/4alxY2DDLGFliiVSojsoO3,0.458,246500,0.557,4alxY2DDLGFliiVSojsoO3,0.0,3,0.0882,-5.643,0,0.0708,79.832,4,Your Life,https://api.spotify.com/v1/tracks/4alxY2DDLGFliiVSojsoO3,audio_features,spotify:track:4alxY2DDLGFliiVSojsoO3,0.122
1,0.135,2016-03-29T05:51:39Z,https://api.spotify.com/v1/audio-analysis/6SgDipB3aLBZ6Hi7GNXWBc,0.626,198373,0.87,6SgDipB3aLBZ6Hi7GNXWBc,0.0,1,0.146,-4.541,0,0.0802,105.026,4,Cry Cry Cry,https://api.spotify.com/v1/tracks/6SgDipB3aLBZ6Hi7GNXWBc,audio_features,spotify:track:6SgDipB3aLBZ6Hi7GNXWBc,0.61
2,4.44e-05,2015-04-06T04:41:32Z,https://api.spotify.com/v1/audio-analysis/5gNnk9wX2pxRD0IVRdQqfQ,0.378,272053,0.654,5gNnk9wX2pxRD0IVRdQqfQ,0.119,6,0.0848,-6.338,0,0.0306,177.988,4,Hearts Like Ours,https://api.spotify.com/v1/tracks/5gNnk9wX2pxRD0IVRdQqfQ,audio_features,spotify:track:5gNnk9wX2pxRD0IVRdQqfQ,0.133
3,0.0636,2016-10-11T19:21:35Z,https://api.spotify.com/v1/audio-analysis/6QGHYZ8zPcmG3Mg4xHNkBX,0.461,224000,0.921,6QGHYZ8zPcmG3Mg4xHNkBX,9.81e-06,2,0.108,-3.823,1,0.0712,149.934,4,Search Party - JayKode Remix,https://api.spotify.com/v1/tracks/6QGHYZ8zPcmG3Mg4xHNkBX,audio_features,spotify:track:6QGHYZ8zPcmG3Mg4xHNkBX,0.302
4,0.00198,2016-05-20T15:22:23Z,https://api.spotify.com/v1/audio-analysis/7a4mTLsXkBfRrakiKQVCTQ,0.571,181493,0.931,7a4mTLsXkBfRrakiKQVCTQ,0.0,10,0.189,-3.307,1,0.0395,96.988,4,Forget Me Now,https://api.spotify.com/v1/tracks/7a4mTLsXkBfRrakiKQVCTQ,audio_features,spotify:track:7a4mTLsXkBfRrakiKQVCTQ,0.843
5,0.0629,2016-04-01T19:16:53Z,https://api.spotify.com/v1/audio-analysis/3qO8p5ccCElEk2MMAI0u4J,0.5,204000,0.82,3qO8p5ccCElEk2MMAI0u4J,0.000372,7,0.598,-4.024,0,0.0644,147.946,4,It's All on U (feat. Liam O'Donnell),https://api.spotify.com/v1/tracks/3qO8p5ccCElEk2MMAI0u4J,audio_features,spotify:track:3qO8p5ccCElEk2MMAI0u4J,0.294
6,0.015,2015-09-25T17:33:33Z,https://api.spotify.com/v1/audio-analysis/01DidSmPasiXdPhDVuaULL,0.587,237481,0.736,01DidSmPasiXdPhDVuaULL,8.81e-05,9,0.148,-5.824,1,0.0948,99.614,4,Leave A Trace,https://api.spotify.com/v1/tracks/01DidSmPasiXdPhDVuaULL,audio_features,spotify:track:01DidSmPasiXdPhDVuaULL,0.177
7,0.309,2015-10-25T06:30:51Z,https://api.spotify.com/v1/audio-analysis/0DJrOgNQig8ZxDzwjeGHMo,0.299,394120,0.632,0DJrOgNQig8ZxDzwjeGHMo,0.0,6,0.0795,-5.92,1,0.0422,130.039,4,Ever After,https://api.spotify.com/v1/tracks/0DJrOgNQig8ZxDzwjeGHMo,audio_features,spotify:track:0DJrOgNQig8ZxDzwjeGHMo,0.155
8,0.0919,2017-01-15T05:57:24Z,https://api.spotify.com/v1/audio-analysis/6cLgBwRc1LfV0cSoboEfJD,0.65,217278,0.762,6cLgBwRc1LfV0cSoboEfJD,0.001,0,0.107,-5.518,1,0.0401,93.032,4,Cross My Mind,https://api.spotify.com/v1/tracks/6cLgBwRc1LfV0cSoboEfJD,audio_features,spotify:track:6cLgBwRc1LfV0cSoboEfJD,0.452
9,0.439,2016-05-28T10:05:00Z,https://api.spotify.com/v1/audio-analysis/47zREtxQZ3cHHIZwUQnuuN,0.564,233337,0.552,47zREtxQZ3cHHIZwUQnuuN,0.0,0,0.163,-5.438,1,0.055,119.907,4,Never Be Like You (feat. Kai),https://api.spotify.com/v1/tracks/47zREtxQZ3cHHIZwUQnuuN,audio_features,spotify:track:47zREtxQZ3cHHIZwUQnuuN,0.26
10,0.216,2017-04-17T19:56:25Z,https://api.spotify.com/v1/audio-analysis/2y76kK3ekRLT9Sz8WavzPZ,0.545,230528,0.913,2y76kK3ekRLT9Sz8WavzPZ,1.48e-05,10,0.138,-3.798,1,0.196,150.039,4,Don't Kill My Vibe - Gryffin Remix,https://api.spotify.com/v1/tracks/2y76kK3ekRLT9Sz8WavzPZ,audio_features,spotify:track:2y76kK3ekRLT9Sz8WavzPZ,0.568
11,0.0363,2016-04-22T06:24:52Z,https://api.spotify.com/v1/audio-analysis/6vIUovlj8NGi1JfnzVUUBI,0.521,195533,0.808,6vIUovlj8NGi1JfnzVUUBI,0.0,4,0.227,-3.852,0,0.0526,140.077,4,Human,https://api.spotify.com/v1/tracks/6vIUovlj8NGi1JfnzVUUBI,audio_features,spotify:track:6vIUovlj8NGi1JfnzVUUBI,0.198
12,0.075,2017-09-22T17:08:50Z,https://api.spotify.com/v1/audio-analysis/5WggjuxMubr94bo33Aan4K,0.345,253333,0.79,5WggjuxMubr94bo33Aan4K,0.000165,2,0.101,-2.761,1,0.065,179.849,4,Sound of Walking Away,https://api.spotify.com/v1/tracks/5WggjuxMubr94bo33Aan4K,audio_features,spotify:track:5WggjuxMubr94bo33Aan4K,0.208
13,0.0662,2018-01-04T22:24:26Z,https://api.spotify.com/v1/audio-analysis/5HI8Cc6mjgewOXmnrZAbYX,0.545,207090,0.805,5HI8Cc6mjgewOXmnrZAbYX,0.0,2,0.107,-2.097,0,0.0455,134.027,4,Heart Of Steel,https://api.spotify.com/v1/tracks/5HI8Cc6mjgewOXmnrZAbYX,audio_features,spotify:track:5HI8Cc6mjgewOXmnrZAbYX,0.427
14,0.664,2016-01-19T17:38:36Z,https://api.spotify.com/v1/audio-analysis/7gNSVC7yDdgxxfmNv7qI6R,0.537,246920,0.666,7gNSVC7yDdgxxfmNv7qI6R,0.0118,8,0.0982,-8.879,1,0.0504,189.936,4,Hooligans,https://api.spotify.com/v1/tracks/7gNSVC7yDdgxxfmNv7qI6R,audio_features,spotify:track:7gNSVC7yDdgxxfmNv7qI6R,0.546
15,0.0124,2015-10-16T01:38:50Z,https://api.spotify.com/v1/audio-analysis/2rvHIXjN4TCFuFLZk3qAxn,0.738,205733,0.87,2rvHIXjN4TCFuFLZk3qAxn,0.0,1,0.14,-5.343,0,0.0844,89.988,4,All About It (feat. Ed Sheeran),https://api.spotify.com/v1/tracks/2rvHIXjN4TCFuFLZk3qAxn,audio_features,spotify:track:2rvHIXjN4TCFuFLZk3qAxn,0.845
16,0.98,2017-04-07T21:51:42Z,https://api.spotify.com/v1/audio-analysis/39D57xG60yPHqgYgShvdZa,0.37,309667,0.0225,39D57xG60yPHqgYgShvdZa,4.06e-06,5,0.18,-17.956,1,0.0453,178.693,3,The Birds,https://api.spotify.com/v1/tracks/39D57xG60yPHqgYgShvdZa,audio_features,spotify:track:39D57xG60yPHqgYgShvdZa,0.189
17,0.0336,2017-09-11T20:07:16Z,https://api.spotify.com/v1/audio-analysis/1hLKGOpquBi12snIayBz3e,0.727,218869,0.889,1hLKGOpquBi12snIayBz3e,0.745,1,0.11,-7.852,0,0.0453,119.991,4,After Hours,https://api.spotify.com/v1/tracks/1hLKGOpquBi12snIayBz3e,audio_features,spotify:track:1hLKGOpquBi12snIayBz3e,0.262
18,0.478,2017-09-19T01:06:04Z,https://api.spotify.com/v1/audio-analysis/74WO7vLynAEE2paZdck6bO,0.579,214138,0.681,74WO7vLynAEE2paZdck6bO,2.67e-05,0,0.306,-6.381,1,0.073,97.716,4,You Make Me,https://api.spotify.com/v1/tracks/74WO7vLynAEE2paZdck6bO,audio_features,spotify:track:74WO7vLynAEE2paZdck6bO,0.555
19,0.914,2016-09-30T15:07:30Z,https://api.spotify.com/v1/audio-analysis/7KhrxbRmgecCVcwYyyHdRY,0.699,211525,0.274,7KhrxbRmgecCVcwYyyHdRY,0.00121,6,0.135,-10.999,1,0.0409,118.07,4,I Was Wrong - Acoustic,https://api.spotify.com/v1/tracks/7KhrxbRmgecCVcwYyyHdRY,audio_features,spotify:track:7KhrxbRmgecCVcwYyyHdRY,0.29
20,0.0861,2015-12-03T20:13:25Z,https://api.spotify.com/v1/audio-analysis/25khomWgBVamSdKw7hzm3l,0.356,242253,0.567,25khomWgBVamSdKw7hzm3l,0.0,0,0.137,-7.011,0,0.0798,135.553,5,The Hills,https://api.spotify.com/v1/tracks/25khomWgBVamSdKw7hzm3l,audio_features,spotify:track:25khomWgBVamSdKw7hzm3l,0.109
21,0.0858,2016-09-18T04:26:50Z,https://api.spotify.com/v1/audio-analysis/6ZtO6PJglJjcqpGeiDcxyV,0.69,215329,0.636,6ZtO6PJglJjcqpGeiDcxyV,0.000477,5,0.177,-4.19,0,0.0343,113.987,4,Heartburn - Felix Cartal Remix,https://api.spotify.com/v1/tracks/6ZtO6PJglJjcqpGeiDcxyV,audio_features,spotify:track:6ZtO6PJglJjcqpGeiDcxyV,0.339
22,0.0636,2016-03-30T14:51:04Z,https://api.spotify.com/v1/audio-analysis/7FKeYATbaBr2JOTDqzRDuW,0.583,251429,0.801,7FKeYATbaBr2JOTDqzRDuW,0.0,0,0.0986,-3.707,1,0.0598,126.05,4,Wild Side - Original Mix,https://api.spotify.com/v1/tracks/7FKeYATbaBr2JOTDqzRDuW,audio_features,spotify:track:7FKeYATbaBr2JOTDqzRDuW,0.178
23,0.133,2015-12-11T18:32:08Z,https://api.spotify.com/v1/audio-analysis/4q6oNFTjZmJqkIgPdp8iR1,0.642,208667,0.864,4q6oNFTjZmJqkIgPdp8iR1,0.000311,6,0.0542,-4.575,0,0.0493,170.08,4,Lord Willin',https://api.spotify.com/v1/tracks/4q6oNFTjZmJqkIgPdp8iR1,audio_features,spotify:track:4q6oNFTjZmJqkIgPdp8iR1,0.595
24,0.0157,2014-11-10T02:16:22Z,https://api.spotify.com/v1/audio-analysis/47ZZG0h29dfhpSvnwbWWO0,0.433,220240,0.867,47ZZG0h29dfhpSvnwbWWO0,0.0,8,0.357,-5.306,1,0.0541,156.081,4,Hope in Front of Me,https://api.spotify.com/v1/tracks/47ZZG0h29dfhpSvnwbWWO0,audio_features,spotify:track:47ZZG0h29dfhpSvnwbWWO0,0.318
25,0.00474,2015-11-28T23:30:26Z,https://api.spotify.com/v1/audio-analysis/6wNCdMW82LwJgFrnGqLhpJ,0.557,243253,0.859,6wNCdMW82LwJgFrnGqLhpJ,5.79e-05,2,0.103,-6.557,1,0.0582,154.718,4,The Ghosts Of Beverly Drive,https://api.spotify.com/v1/tracks/6wNCdMW82LwJgFrnGqLhpJ,audio_features,spotify:track:6wNCdMW82LwJgFrnGqLhpJ,0.748
26,0.0261,2017-05-04T07:33:30Z,https://api.spotify.com/v1/audio-analysis/3lhmj5XfT5poIR5ozhiDmH,0.663,206490,0.824,3lhmj5XfT5poIR5ozhiDmH,0.0,7,0.136,-4.053,1,0.0585,126.055,4,Emily,https://api.spotify.com/v1/tracks/3lhmj5XfT5poIR5ozhiDmH,audio_features,spotify:track:3lhmj5XfT5poIR5ozhiDmH,0.588
27,0.0509,2014-10-12T16:24:08Z,https://api.spotify.com/v1/audio-analysis/6L6ra9mTlyQPmh7zGw58y1,0.662,214120,0.612,6L6ra9mTlyQPmh7zGw58y1,0.0,10,0.0948,-4.993,1,0.0311,113.95,4,Life Of The Party,https://api.spotify.com/v1/tracks/6L6ra9mTlyQPmh7zGw58y1,audio_features,spotify:track:6L6ra9mTlyQPmh7zGw58y1,0.177
