acousticness,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,song_title,speechiness,tempo,time_signature,track_href,type,uri,valence
0.0106,https://api.spotify.com/v1/audio-analysis/7FX3ZWE70VRjsprg5oeECc,COIN,0.598,187813,0.914,7FX3ZWE70VRjsprg5oeECc,1.22e-06,4,0.369,-3.752,1,Talk Too Much,0.0878,103.972,4,https://api.spotify.com/v1/tracks/7FX3ZWE70VRjsprg5oeECc,audio_features,spotify:track:7FX3ZWE70VRjsprg5oeECc,0.518
0.755,https://api.spotify.com/v1/audio-analysis/2kJqNHHGOzLNahukdvlDWN,Oh Wonder,0.658,196466,0.447,2kJqNHHGOzLNahukdvlDWN,3.67e-06,9,0.0828,-8.315,1,Drive,0.0987,141.742,4,https://api.spotify.com/v1/tracks/2kJqNHHGOzLNahukdvlDWN,audio_features,spotify:track:2kJqNHHGOzLNahukdvlDWN,0.398
0.0918,https://api.spotify.com/v1/audio-analysis/5ftdTvmQjjsL23t7jxADfI,Declan McKenna,0.689,252307,0.617,5ftdTvmQjjsL23t7jxADfI,2.02e-05,4,0.0816,-5.196,1,Brazil,0.0289,121.062,4,https://api.spotify.com/v1/tracks/5ftdTvmQjjsL23t7jxADfI,audio_features,spotify:track:5ftdTvmQjjsL23t7jxADfI,0.676
0.000864,https://api.spotify.com/v1/audio-analysis/3cV7urlavfJPXy4GXs7iTJ,Future Generations,0.388,233686,0.842,3cV7urlavfJPXy4GXs7iTJ,0.00295,9,0.322,-3.651,0,Stars,0.0278,88.335,4,https://api.spotify.com/v1/tracks/3cV7urlavfJPXy4GXs7iTJ,audio_features,spotify:track:3cV7urlavfJPXy4GXs7iTJ,0.444
0.0703,https://api.spotify.com/v1/audio-analysis/7BHPGtpuuWWsvE7cCaMuEU,The Kooks,0.543,203507,0.819,7BHPGtpuuWWsvE7cCaMuEU,0.0,11,0.149,-6.159,1,Naive,0.0661,102.687,4,https://api.spotify.com/v1/tracks/7BHPGtpuuWWsvE7cCaMuEU,audio_features,spotify:track:7BHPGtpuuWWsvE7cCaMuEU,0.717
0.462,https://api.spotify.com/v1/audio-analysis/4iEOVEULZRvmzYSZY2ViKN,alt-J,0.697,173631,0.877,4iEOVEULZRvmzYSZY2ViKN,0.00943,3,0.083,-4.465,1,Left Hand Free,0.0462,101.99,4,https://api.spotify.com/v1/tracks/4iEOVEULZRvmzYSZY2ViKN,audio_features,spotify:track:4iEOVEULZRvmzYSZY2ViKN,0.798
0.156,https://api.spotify.com/v1/audio-analysis/4gDcrTB7sm4gDJZ0hRjRtN,Birdy,0.599,208395,0.78,4gDcrTB7sm4gDJZ0hRjRtN,0.0,11,0.189,-5.033,1,Keeping Your Head Up,0.0527,122.077,4,https://api.spotify.com/v1/tracks/4gDcrTB7sm4gDJZ0hRjRtN,audio_features,spotify:track:4gDcrTB7sm4gDJZ0hRjRtN,0.526
0.054,https://api.spotify.com/v1/audio-analysis/3mxMrdo3fJjDbb64nagoXR,JR JR,0.62,227507,0.892,3mxMrdo3fJjDbb64nagoXR,0.000687,2,0.207,-3.664,1,Gone,0.0531,129.96,4,https://api.spotify.com/v1/tracks/3mxMrdo3fJjDbb64nagoXR,audio_features,spotify:track:3mxMrdo3fJjDbb64nagoXR,0.402
0.0579,https://api.spotify.com/v1/audio-analysis/0PywzrV955BnXDC8FHAf0n,Hozier,0.555,223120,0.727,0PywzrV955BnXDC8FHAf0n,7.52e-06,6,0.0937,-4.202,1,Jackie and Wilson,0.0388,82.142,4,https://api.spotify.com/v1/tracks/0PywzrV955BnXDC8FHAf0n,audio_features,spotify:track:0PywzrV955BnXDC8FHAf0n,0.719
0.115,https://api.spotify.com/v1/audio-analysis/0VnLohgzwLEleLmo19Z8B0,Cults,0.374,204400,0.697,0VnLohgzwLEleLmo19Z8B0,0.893,2,0.343,-6.758,1,Go Outside,0.0331,77.549,4,https://api.spotify.com/v1/tracks/0VnLohgzwLEleLmo19Z8B0,audio_features,spotify:track:0VnLohgzwLEleLmo19Z8B0,0.496
3.99e-05,https://api.spotify.com/v1/audio-analysis/4ObmBaVHilvAw9LDEq69bM,Two Door Cinema Club,0.517,225800,0.818,4ObmBaVHilvAw9LDEq69bM,0.649,10,0.729,-4.476,0,Wake Up,0.0384,134.952,4,https://api.spotify.com/v1/tracks/4ObmBaVHilvAw9LDEq69bM,audio_features,spotify:track:4ObmBaVHilvAw9LDEq69bM,0.704
0.00257,https://api.spotify.com/v1/audio-analysis/28C4nmrd7BTu0XbOmaTHZr,The Wombats,0.515,209558,0.869,28C4nmrd7BTu0XbOmaTHZr,2.01e-06,11,0.21,-4.732,1,Greek Tragedy,0.0672,93.24,4,https://api.spotify.com/v1/tracks/28C4nmrd7BTu0XbOmaTHZr,audio_features,spotify:track:28C4nmrd7BTu0XbOmaTHZr,0.448
2.93e-05,https://api.spotify.com/v1/audio-analysis/5YHhxbtAAkOiIXqNBfYjZU,The Wombats,0.252,210560,0.886,5YHhxbtAAkOiIXqNBfYjZU,5.33e-06,9,0.256,-4.678,0,Moving To New York,0.0714,161.939,4,https://api.spotify.com/v1/tracks/5YHhxbtAAkOiIXqNBfYjZU,audio_features,spotify:track:5YHhxbtAAkOiIXqNBfYjZU,0.519
0.0338,https://api.spotify.com/v1/audio-analysis/4Sfa7hdVkqlM8UW5LsSY3F,Passion Pit,0.566,264493,0.755,4Sfa7hdVkqlM8UW5LsSY3F,0.0,11,0.315,-5.526,1,Take a Walk,0.0368,101.006,4,https://api.spotify.com/v1/tracks/4Sfa7hdVkqlM8UW5LsSY3F,audio_features,spotify:track:4Sfa7hdVkqlM8UW5LsSY3F,0.427
0.00125,https://api.spotify.com/v1/audio-analysis/60Ih7J2Q1o9shvMC2OAALu,The Wombats,0.397,191293,0.839,60Ih7J2Q1o9shvMC2OAALu,0.0,4,0.576,-6.674,1,Let's Dance To Joy Division,0.102,116.947,4,https://api.spotify.com/v1/tracks/60Ih7J2Q1o9shvMC2OAALu,audio_features,spotify:track:60Ih7J2Q1o9shvMC2OAALu,0.751
0.00345,https://api.spotify.com/v1/audio-analysis/3kb38wezoUA8ki5jPYy3t5,Passion Pit,0.597,238973,0.786,3kb38wezoUA8ki5jPYy3t5,0.0,5,0.0909,-4.248,1,Little Secrets,0.0419,99.888,4,https://api.spotify.com/v1/tracks/3kb38wezoUA8ki5jPYy3t5,audio_features,spotify:track:3kb38wezoUA8ki5jPYy3t5,0.669
0.0564,https://api.spotify.com/v1/audio-analysis/5JtPGzRgrWxkXX9LoROq3d,Phoenix,0.604,193107,0.825,5JtPGzRgrWxkXX9LoROq3d,5.8e-05,0,0.192,-5.373,1,1901,0.0429,144.085,4,https://api.spotify.com/v1/tracks/5JtPGzRgrWxkXX9LoROq3d,audio_features,spotify:track:5JtPGzRgrWxkXX9LoROq3d,0.694
0.0041,https://api.spotify.com/v1/audio-analysis/44Ljlpy44mHvLJxcYUvTK0,The 1975,0.591,224640,0.944,44Ljlpy44mHvLJxcYUvTK0,0.0,11,0.385,-4.325,1,Chocolate,0.0544,100.124,4,https://api.spotify.com/v1/tracks/44Ljlpy44mHvLJxcYUvTK0,audio_features,spotify:track:44Ljlpy44mHvLJxcYUvTK0,0.721
