acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
0.161,https://api.spotify.com/v1/audio-analysis/7eElVgPcxDqmgGrSwVFI74,0.787,197236,0.484,7eElVgPcxDqmgGrSwVFI74,0.00474,6,0.135,-10.338,1,0.196,1,107.925,4,https://api.spotify.com/v1/tracks/7eElVgPcxDqmgGrSwVFI74,audio_features,spotify:track:7eElVgPcxDqmgGrSwVFI74,0.485
0.223,https://api.spotify.com/v1/audio-analysis/02oAUzv4M0ItuTDy2RT3IT,0.757,189796,0.437,02oAUzv4M0ItuTDy2RT3IT,1.41e-06,10,0.0921,-5.54,1,0.0625,1,106.953,4,https://api.spotify.com/v1/tracks/02oAUzv4M0ItuTDy2RT3IT,audio_features,spotify:track:02oAUzv4M0ItuTDy2RT3IT,0.232
0.285,https://api.spotify.com/v1/audio-analysis/5q4BpnMrYEFzLO0dYODj6J,0.646,271088,0.376,5q4BpnMrYEFzLO0dYODj6J,0.00951,0,0.0899,-10.054,1,0.0478,1,123.172,4,https://api.spotify.com/v1/tracks/5q4BpnMrYEFzLO0dYODj6J,audio_features,spotify:track:5q4BpnMrYEFzLO0dYODj6J,0.142
0.92,https://api.spotify.com/v1/audio-analysis/6Kkt27YmFyIFrcX3QXFi2o,0.575,171728,0.22,6Kkt27YmFyIFrcX3QXFi2o,0.0,10,0.0962,-11.178,0,0.0992,1,81.601,4,https://api.spotify.com/v1/tracks/6Kkt27YmFyIFrcX3QXFi2o,audio_features,spotify:track:6Kkt27YmFyIFrcX3QXFi2o,0.351
0.03,https://api.spotify.com/v1/audio-analysis/1Dp7JGFNjvg8Nk0CtMCcnr,0.47,367391,0.45,1Dp7JGFNjvg8Nk0CtMCcnr,0.00928,1,0.0781,-10.963,0,0.201,1,149.999,4,https://api.spotify.com/v1/tracks/1Dp7JGFNjvg8Nk0CtMCcnr,audio_features,spotify:track:1Dp7JGFNjvg8Nk0CtMCcnr,0.175
0.168,https://api.spotify.com/v1/audio-analysis/54ucfuN596MU25jQD3KjCL,0.528,178639,0.327,54ucfuN596MU25jQD3KjCL,9.98e-06,11,0.0679,-11.852,1,0.0394,1,112.932,4,https://api.spotify.com/v1/tracks/54ucfuN596MU25jQD3KjCL,audio_features,spotify:track:54ucfuN596MU25jQD3KjCL,0.141
0.718,https://api.spotify.com/v1/audio-analysis/193Dm5SqYy3hTSbuzxbwKc,0.316,216611,0.288,193Dm5SqYy3hTSbuzxbwKc,0.0,7,0.293,-8.022,1,0.0424,1,73.744,4,https://api.spotify.com/v1/tracks/193Dm5SqYy3hTSbuzxbwKc,audio_features,spotify:track:193Dm5SqYy3hTSbuzxbwKc,0.27
0.233,https://api.spotify.com/v1/audio-analysis/6K8VQ84MqhsoakN5MjrnVR,0.552,277506,0.441,6K8VQ84MqhsoakN5MjrnVR,1.93e-05,0,0.0801,-10.393,1,0.0517,1,125.001,4,https://api.spotify.com/v1/tracks/6K8VQ84MqhsoakN5MjrnVR,audio_features,spotify:track:6K8VQ84MqhsoakN5MjrnVR,0.155
0.874,https://api.spotify.com/v1/audio-analysis/6lFDB0BFDRV58qaQDX85jV,0.559,136020,0.266,6lFDB0BFDRV58qaQDX85jV,0.0,9,0.107,-12.086,0,0.0659,1,77.87,4,https://api.spotify.com/v1/tracks/6lFDB0BFDRV58qaQDX85jV,audio_features,spotify:track:6lFDB0BFDRV58qaQDX85jV,0.279
0.00257,https://api.spotify.com/v1/audio-analysis/7ARveOiD31w2Nq0n5FsSf8,0.62,221874,0.576,7ARveOiD31w2Nq0n5FsSf8,2.03e-05,1,0.129,-5.275,0,0.0581,1,104.324,4,https://api.spotify.com/v1/tracks/7ARveOiD31w2Nq0n5FsSf8,audio_features,spotify:track:7ARveOiD31w2Nq0n5FsSf8,0.512
0.193,https://api.spotify.com/v1/audio-analysis/4fxNwAXn8J9LNi5Rz8eMIv,0.433,222920,0.772,4fxNwAXn8J9LNi5Rz8eMIv,1.76e-06,0,0.0952,-6.069,0,0.0592,1,200.093,4,https://api.spotify.com/v1/tracks/4fxNwAXn8J9LNi5Rz8eMIv,audio_features,spotify:track:4fxNwAXn8J9LNi5Rz8eMIv,0.674
0.445,https://api.spotify.com/v1/audio-analysis/0cQ5y2ycYOR7KrMG752t8Q,0.582,204933,0.65,0cQ5y2ycYOR7KrMG752t8Q,0.000114,0,0.515,-6.767,1,0.0483,1,108.021,4,https://api.spotify.com/v1/tracks/0cQ5y2ycYOR7KrMG752t8Q,audio_features,spotify:track:0cQ5y2ycYOR7KrMG752t8Q,0.33
0.175,https://api.spotify.com/v1/audio-analysis/1ZQwftFvuyrHrl41HA9dOC,0.442,211573,0.773,1ZQwftFvuyrHrl41HA9dOC,0.00235,3,0.172,-4.226,1,0.0453,1,95.564,4,https://api.spotify.com/v1/tracks/1ZQwftFvuyrHrl41HA9dOC,audio_features,spotify:track:1ZQwftFvuyrHrl41HA9dOC,0.473
0.371,https://api.spotify.com/v1/audio-analysis/48jKLs2qqEXKsQTmYHE0JD,0.652,232493,0.639,48jKLs2qqEXKsQTmYHE0JD,0.000157,1,0.123,-5.384,0,0.0947,1,146.081,4,https://api.spotify.com/v1/tracks/48jKLs2qqEXKsQTmYHE0JD,audio_features,spotify:track:48jKLs2qqEXKsQTmYHE0JD,0.755
0.0451,https://api.spotify.com/v1/audio-analysis/2XELtFPg5H2Xmg6eas6dII,0.555,191280,0.917,2XELtFPg5H2Xmg6eas6dII,6.27e-05,11,0.0833,-3.414,0,0.0637,1,90.041,4,https://api.spotify.com/v1/tracks/2XELtFPg5H2Xmg6eas6dII,audio_features,spotify:track:2XELtFPg5H2Xmg6eas6dII,0.779
0.468,https://api.spotify.com/v1/audio-analysis/2ScrwCtee5LnTrpQZfrxqJ,0.468,182280,0.571,2ScrwCtee5LnTrpQZfrxqJ,1.74e-05,5,0.0632,-5.832,0,0.0336,1,62.973,4,https://api.spotify.com/v1/tracks/2ScrwCtee5LnTrpQZfrxqJ,audio_features,spotify:track:2ScrwCtee5LnTrpQZfrxqJ,0.505
0.532,https://api.spotify.com/v1/audio-analysis/0j1BAvgZnO5LoRCsGtgYYG,0.722,191760,0.459,0j1BAvgZnO5LoRCsGtgYYG,1.49e-05,4,0.276,-4.556,0,0.0802,1,96.171,4,https://api.spotify.com/v1/tracks/0j1BAvgZnO5LoRCsGtgYYG,audio_features,spotify:track:0j1BAvgZnO5LoRCsGtgYYG,0.921
0.716,https://api.spotify.com/v1/audio-analysis/7GLvGlqdg2ocugG4G5ih4I,0.576,219773,0.647,7GLvGlqdg2ocugG4G5ih4I,3.42e-05,7,0.244,-5.59,1,0.0283,1,112.008,4,https://api.spotify.com/v1/tracks/7GLvGlqdg2ocugG4G5ih4I,audio_features,spotify:track:7GLvGlqdg2ocugG4G5ih4I,0.397
0.352,https://api.spotify.com/v1/audio-analysis/0cqiehfcVFq3ISC3pO9zLE,0.679,204493,0.503,0cqiehfcVFq3ISC3pO9zLE,1.84e-06,9,0.0984,-4.546,1,0.0365,1,95.48,4,https://api.spotify.com/v1/tracks/0cqiehfcVFq3ISC3pO9zLE,audio_features,spotify:track:0cqiehfcVFq3ISC3pO9zLE,0.891
0.857,https://api.spotify.com/v1/audio-analysis/7w45f9uLSXE56Bezwjdl8B,0.539,221267,0.561,7w45f9uLSXE56Bezwjdl8B,0.33,0,0.145,-7.897,0,0.0294,1,128.023,4,https://api.spotify.com/v1/tracks/7w45f9uLSXE56Bezwjdl8B,audio_features,spotify:track:7w45f9uLSXE56Bezwjdl8B,0.0568
0.155,https://api.spotify.com/v1/audio-analysis/53LWnHbfoBuARHoAtEwrBY,0.57,238293,0.486,53LWnHbfoBuARHoAtEwrBY,0.000633,5,0.0995,-5.082,1,0.0326,1,144.799,4,https://api.spotify.com/v1/tracks/53LWnHbfoBuARHoAtEwrBY,audio_features,spotify:track:53LWnHbfoBuARHoAtEwrBY,0.749
