acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
0.0336,https://api.spotify.com/v1/audio-analysis/1hLKGOpquBi12snIayBz3e,0.727,218869,0.889,1hLKGOpquBi12snIayBz3e,0.745,1,0.11,-7.852,0,0.0453,1,119.991,4,https://api.spotify.com/v1/tracks/1hLKGOpquBi12snIayBz3e,audio_features,spotify:track:1hLKGOpquBi12snIayBz3e,0.269
0.00915,https://api.spotify.com/v1/audio-analysis/2awWMPb89fIkrjXQ3GV9WH,0.421,227518,0.637,2awWMPb89fIkrjXQ3GV9WH,0.00288,1,0.257,-5.71,0,0.0631,0,106.633,3,https://api.spotify.com/v1/tracks/2awWMPb89fIkrjXQ3GV9WH,audio_features,spotify:track:2awWMPb89fIkrjXQ3GV9WH,0.225
0.599,https://api.spotify.com/v1/audio-analysis/5tluLjZA9ZpLXjV26DLtWu,0.707,242927,0.794,5tluLjZA9ZpLXjV26DLtWu,0.812,7,0.701,-6.548,0,0.0505,0,122.99,4,https://api.spotify.com/v1/tracks/5tluLjZA9ZpLXjV26DLtWu,audio_features,spotify:track:5tluLjZA9ZpLXjV26DLtWu,0.135
0.124,https://api.spotify.com/v1/audio-analysis/2pEIHNpqlkkB5fX3lRAObT,0.824,176411,0.572,2pEIHNpqlkkB5fX3lRAObT,4.32e-05,3,0.124,-9.736,0,0.0777,0,109.045,4,https://api.spotify.com/v1/tracks/2pEIHNpqlkkB5fX3lRAObT,audio_features,spotify:track:2pEIHNpqlkkB5fX3lRAObT,0.528
0.0389,https://api.spotify.com/v1/audio-analysis/62bZ9ZzGK8hoE1m8IV1Idk,0.598,222000,0.727,62bZ9ZzGK8hoE1m8IV1Idk,2.45e-06,4,0.0903,-5.344,0,0.0515,0,160.088,4,https://api.spotify.com/v1/tracks/62bZ9ZzGK8hoE1m8IV1Idk,audio_features,spotify:track:62bZ9ZzGK8hoE1m8IV1Idk,0.406
0.302,https://api.spotify.com/v1/audio-analysis/3f8OJwxJ3ApphKbxk5z0kJ,0.575,206187,0.686,3f8OJwxJ3ApphKbxk5z0kJ,0.0,9,0.47,-5.751,0,0.106,0,82.959,4,https://api.spotify.com/v1/tracks/3f8OJwxJ3ApphKbxk5z0kJ,audio_features,spotify:track:3f8OJwxJ3ApphKbxk5z0kJ,0.338
0.164,https://api.spotify.com/v1/audio-analysis/2fpEZdFnPsNnEvv5g4dXOM,0.501,191392,0.87,2fpEZdFnPsNnEvv5g4dXOM,0.152,6,0.104,-2.923,0,0.249,0,158.104,4,https://api.spotify.com/v1/tracks/2fpEZdFnPsNnEvv5g4dXOM,audio_features,spotify:track:2fpEZdFnPsNnEvv5g4dXOM,0.222
0.975,https://api.spotify.com/v1/audio-analysis/4gBWlKB90ARBOyjbhcQRin,0.305,127198,0.0613,4gBWlKB90ARBOyjbhcQRin,0.676,2,0.107,-18.093,1,0.0315,0,73.203,4,https://api.spotify.com/v1/tracks/4gBWlKB90ARBOyjbhcQRin,audio_features,spotify:track:4gBWlKB90ARBOyjbhcQRin,0.119
0.135,https://api.spotify.com/v1/audio-analysis/1KZrUPMciRaJNDRtTVgokL,0.561,261531,0.473,1KZrUPMciRaJNDRtTVgokL,0.536,5,0.139,-9.797,1,0.0368,1,177.113,4,https://api.spotify.com/v1/tracks/1KZrUPMciRaJNDRtTVgokL,audio_features,spotify:track:1KZrUPMciRaJNDRtTVgokL,0.171
0.0137,https://api.spotify.com/v1/audio-analysis/6xCMQbNfJc12vM4H25K1CV,0.554,168750,0.486,6xCMQbNfJc12vM4H25K1CV,1.01e-05,0,0.624,-8.016,1,0.0352,0,127.943,4,https://api.spotify.com/v1/tracks/6xCMQbNfJc12vM4H25K1CV,audio_features,spotify:track:6xCMQbNfJc12vM4H25K1CV,0.148
